,x1_1,x2_1,x3_1,x3_2,x3_3,x4_1
d155,-1,0,1,1,-1,0
d156,-1,0,1,1,-1,1
d157,-1,0,1,1,0,-1
d158,-1,0,1,1,0,0
d159,-1,0,1,1,0,1
d160,-1,0,1,1,1,-1
d161,-1,0,1,1,1,0
d162,-1,0,1,1,1,1
d163,-1,1,-1,-1,-1,-1
d164,-1,1,-1,-1,-1,0
d165,-1,1,-1,-1,-1,1
d166,-1,1,-1,-1,0,-1
d167,-1,1,-1,-1,0,0
d168,-1,1,-1,-1,0,1
d169,-1,1,-1,-1,1,-1
d170,-1,1,-1,-1,1,0
d171,-1,1,-1,-1,1,1
d172,-1,1,-1,0,-1,-1
d173,-1,1,-1,0,-1,0
d174,-1,1,-1,0,-1,1
d175,-1,1,-1,0,0,-1
d176,-1,1,-1,0,0,0
d177,-1,1,-1,0,0,1
d178,-1,1,-1,0,1,-1
d179,-1,1,-1,0,1,0
d180,-1,1,-1,0,1,1
d181,-1,1,-1,1,-1,-1
d182,-1,1,-1,1,-1,0
d183,-1,1,-1,1,-1,1
d184,-1,1,-1,1,0,-1
d185,-1,1,-1,1,0,0
d186,-1,1,-1,1,0,1
d187,-1,1,-1,1,1,-1
d188,-1,1,-1,1,1,0
d189,-1,1,-1,1,1,1
d190,-1,1,0,-1,-1,-1
d191,-1,1,0,-1,-1,0
d192,-1,1,0,-1,-1,1
d193,-1,1,0,-1,0,-1
d194,-1,1,0,-1,0,0
d195,-1,1,0,-1,0,1
d196,-1,1,0,-1,1,-1
d197,-1,1,0,-1,1,0
d198,-1,1,0,-1,1,1
d199,-1,1,0,0,-1,-1
d200,-1,1,0,0,-1,0
d201,-1,1,0,0,-1,1
d202,-1,1,0,0,0,-1
d203,-1,1,0,0,0,0
d204,-1,1,0,0,0,1
d205,-1,1,0,0,1,-1
d206,-1,1,0,0,1,0
d207,-1,1,0,0,1,1
d208,-1,1,0,1,-1,-1
d209,-1,1,0,1,-1,0
d210,-1,1,0,1,-1,1
d211,-1,1,0,1,0,-1
d212,-1,1,0,1,0,0
d213,-1,1,0,1,0,1
d214,-1,1,0,1,1,-1
d215,-1,1,0,1,1,0
d216,-1,1,0,1,1,1
d217,-1,1,1,-1,-1,-1
d218,-1,1,1,-1,-1,0
d219,-1,1,1,-1,-1,1
d220,-1,1,1,-1,0,-1
d221,-1,1,1,-1,0,0
d222,-1,1,1,-1,0,1
d223,-1,1,1,-1,1,-1
d224,-1,1,1,-1,1,0
d225,-1,1,1,-1,1,1
d226,-1,1,1,0,-1,-1
d227,-1,1,1,0,-1,0
d228,-1,1,1,0,-1,1
d229,-1,1,1,0,0,-1
d230,-1,1,1,0,0,0
d231,-1,1,1,0,0,1
d232,-1,1,1,0,1,-1
d233,-1,1,1,0,1,0
d234,-1,1,1,0,1,1
d235,-1,1,1,1,-1,-1
d236,-1,1,1,1,-1,0
d237,-1,1,1,1,-1,1
d238,-1,1,1,1,0,-1
d239,-1,1,1,1,0,0
d240,-1,1,1,1,0,1
d241,-1,1,1,1,1,-1
d242,-1,1,1,1,1,0
d243,-1,1,1,1,1,1
d244,0,-1,-1,-1,-1,-1
d245,0,-1,-1,-1,-1,0
d246,0,-1,-1,-1,-1,1
d247,0,-1,-1,-1,0,-1
d248,0,-1,-1,-1,0,0
d249,0,-1,-1,-1,0,1
d250,0,-1,-1,-1,1,-1
d251,0,-1,-1,-1,1,0
d252,0,-1,-1,-1,1,1
d253,0,-1,-1,0,-1,-1
d254,0,-1,-1,0,-1,0
d255,0,-1,-1,0,-1,1
d256,0,-1,-1,0,0,-1
d257,0,-1,-1,0,0,0
d258,0,-1,-1,0,0,1
d259,0,-1,-1,0,1,-1
d260,0,-1,-1,0,1,0
d261,0,-1,-1,0,1,1
d262,0,-1,-1,1,-1,-1
d263,0,-1,-1,1,-1,0
d264,0,-1,-1,1,-1,1
d265,0,-1,-1,1,0,-1
d266,0,-1,-1,1,0,0
d267,0,-1,-1,1,0,1
d268,0,-1,-1,1,1,-1
d269,0,-1,-1,1,1,0
d270,0,-1,-1,1,1,1
d271,0,-1,0,-1,-1,-1
d272,0,-1,0,-1,-1,0
d273,0,-1,0,-1,-1,1
d274,0,-1,0,-1,0,-1
d275,0,-1,0,-1,0,0
d276,0,-1,0,-1,0,1
d277,0,-1,0,-1,1,-1
d278,0,-1,0,-1,1,0
d279,0,-1,0,-1,1,1
d280,0,-1,0,0,-1,-1
d281,0,-1,0,0,-1,0
d282,0,-1,0,0,-1,1
d283,0,-1,0,0,0,-1
d284,0,-1,0,0,0,0
d285,0,-1,0,0,0,1
d286,0,-1,0,0,1,-1
d287,0,-1,0,0,1,0
d288,0,-1,0,0,1,1
d289,0,-1,0,1,-1,-1
d290,0,-1,0,1,-1,0
d291,0,-1,0,1,-1,1
d292,0,-1,0,1,0,-1
d293,0,-1,0,1,0,0
d294,0,-1,0,1,0,1
d295,0,-1,0,1,1,-1
d296,0,-1,0,1,1,0
d297,0,-1,0,1,1,1
d298,0,-1,1,-1,-1,-1
d299,0,-1,1,-1,-1,0
d300,0,-1,1,-1,-1,1
d301,0,-1,1,-1,0,-1
d302,0,-1,1,-1,0,0
d303,0,-1,1,-1,0,1
d304,0,-1,1,-1,1,-1
d305,0,-1,1,-1,1,0
d306,0,-1,1,-1,1,1
d307,0,-1,1,0,-1,-1
d308,0,-1,1,0,-1,0
d309,0,-1,1,0,-1,1
d310,0,-1,1,0,0,-1
d311,0,-1,1,0,0,0
d312,0,-1,1,0,0,1
d313,0,-1,1,0,1,-1
d314,0,-1,1,0,1,0
d315,0,-1,1,0,1,1
d316,0,-1,1,1,-1,-1
d317,0,-1,1,1,-1,0
d318,0,-1,1,1,-1,1
d319,0,-1,1,1,0,-1
d320,0,-1,1,1,0,0
d321,0,-1,1,1,0,1
d322,0,-1,1,1,1,-1
d323,0,-1,1,1,1,0
d324,0,-1,1,1,1,1
d325,0,0,-1,-1,-1,-1
d326,0,0,-1,-1,-1,0
d327,0,0,-1,-1,-1,1
d328,0,0,-1,-1,0,-1
d329,0,0,-1,-1,0,0
d330,0,0,-1,-1,0,1
d331,0,0,-1,-1,1,-1
d332,0,0,-1,-1,1,0
d333,0,0,-1,-1,1,1
d334,0,0,-1,0,-1,-1
d335,0,0,-1,0,-1,0
d336,0,0,-1,0,-1,1
d337,0,0,-1,0,0,-1
d338,0,0,-1,0,0,0
d339,0,0,-1,0,0,1
d340,0,0,-1,0,1,-1
d341,0,0,-1,0,1,0
d342,0,0,-1,0,1,1
d343,0,0,-1,1,-1,-1
d344,0,0,-1,1,-1,0
d345,0,0,-1,1,-1,1
d346,0,0,-1,1,0,-1
d347,0,0,-1,1,0,0
d348,0,0,-1,1,0,1
d349,0,0,-1,1,1,-1
d350,0,0,-1,1,1,0
d351,0,0,-1,1,1,1
d352,0,0,0,-1,-1,-1
d353,0,0,0,-1,-1,0
d354,0,0,0,-1,-1,1
d355,0,0,0,-1,0,-1
d356,0,0,0,-1,0,0
d357,0,0,0,-1,0,1
d358,0,0,0,-1,1,-1
d359,0,0,0,-1,1,0
d360,0,0,0,-1,1,1
d361,0,0,0,0,-1,-1
d362,0,0,0,0,-1,0
d363,0,0,0,0,-1,1
d364,0,0,0,0,0,-1
d365,0,0,0,0,0,1
d366,0,0,0,0,1,-1
d367,0,0,0,0,1,0
d368,0,0,0,0,1,1
d369,0,0,0,1,-1,-1
d370,0,0,0,1,-1,0
d371,0,0,0,1,-1,1
d372,0,0,0,1,0,-1
d373,0,0,0,1,0,0
d374,0,0,0,1,0,1
d375,0,0,0,1,1,-1
d376,0,0,0,1,1,0
d377,0,0,0,1,1,1
d378,0,0,1,-1,-1,-1
d379,0,0,1,-1,-1,0
d380,0,0,1,-1,-1,1
d381,0,0,1,-1,0,-1
d382,0,0,1,-1,0,0
d383,0,0,1,-1,0,1
d384,0,0,1,-1,1,-1
d385,0,0,1,-1,1,0
d386,0,0,1,-1,1,1
d387,0,0,1,0,-1,-1
d388,0,0,1,0,-1,0
d389,0,0,1,0,-1,1
d390,0,0,1,0,0,-1
d391,0,0,1,0,0,0
d392,0,0,1,0,0,1
d393,0,0,1,0,1,-1
d394,0,0,1,0,1,0
d395,0,0,1,0,1,1
d396,0,0,1,1,-1,-1
d397,0,0,1,1,-1,0
d398,0,0,1,1,-1,1
d399,0,0,1,1,0,-1
d400,0,0,1,1,0,0
d401,0,0,1,1,0,1
d402,0,0,1,1,1,-1
d403,0,0,1,1,1,0
d404,0,0,1,1,1,1
d405,0,1,-1,-1,-1,-1
d406,0,1,-1,-1,-1,0
d407,0,1,-1,-1,-1,1
d408,0,1,-1,-1,0,-1
d409,0,1,-1,-1,0,0
d410,0,1,-1,-1,0,1
d411,0,1,-1,-1,1,-1
d412,0,1,-1,-1,1,0
d413,0,1,-1,-1,1,1
d414,0,1,-1,0,-1,-1
d415,0,1,-1,0,-1,0
d416,0,1,-1,0,-1,1
d417,0,1,-1,0,0,-1
d418,0,1,-1,0,0,0
d419,0,1,-1,0,0,1
d420,0,1,-1,0,1,-1
d421,0,1,-1,0,1,0
d422,0,1,-1,0,1,1
d423,0,1,-1,1,-1,-1
d424,0,1,-1,1,-1,0
d425,0,1,-1,1,-1,1
d426,0,1,-1,1,0,-1
d427,0,1,-1,1,0,0
d428,0,1,-1,1,0,1
d429,0,1,-1,1,1,-1
d430,0,1,-1,1,1,0
d431,0,1,-1,1,1,1
d432,0,1,0,-1,-1,-1
d433,0,1,0,-1,-1,0
d434,0,1,0,-1,-1,1
d435,0,1,0,-1,0,-1
d436,0,1,0,-1,0,0
d437,0,1,0,-1,0,1
d438,0,1,0,-1,1,-1
d439,0,1,0,-1,1,0
d440,0,1,0,-1,1,1
d441,0,1,0,0,-1,-1
d442,0,1,0,0,-1,0
d443,0,1,0,0,-1,1
d444,0,1,0,0,0,-1
d445,0,1,0,0,0,0
d446,0,1,0,0,0,1
d447,0,1,0,0,1,-1
d448,0,1,0,0,1,0
d449,0,1,0,0,1,1
d450,0,1,0,1,-1,-1
d451,0,1,0,1,-1,0
d452,0,1,0,1,-1,1
d453,0,1,0,1,0,-1
d454,0,1,0,1,0,0
d455,0,1,0,1,0,1
d456,0,1,0,1,1,-1
d457,0,1,0,1,1,0
d458,0,1,0,1,1,1
d459,0,1,1,-1,-1,-1
d460,0,1,1,-1,-1,0
d461,0,1,1,-1,-1,1
d462,0,1,1,-1,0,-1
d463,0,1,1,-1,0,0
d464,0,1,1,-1,0,1
d465,0,1,1,-1,1,-1
d466,0,1,1,-1,1,0
d467,0,1,1,-1,1,1
d468,0,1,1,0,-1,-1
d469,0,1,1,0,-1,0
d470,0,1,1,0,-1,1
d471,0,1,1,0,0,-1
d472,0,1,1,0,0,0
d473,0,1,1,0,0,1
d474,0,1,1,0,1,-1
d475,0,1,1,0,1,0
d476,0,1,1,0,1,1
d477,0,1,1,1,-1,-1
d478,0,1,1,1,-1,0
d479,0,1,1,1,-1,1
d480,0,1,1,1,0,-1
d481,0,1,1,1,0,0
d482,0,1,1,1,0,1
d483,0,1,1,1,1,-1
d484,0,1,1,1,1,0
d485,0,1,1,1,1,1
d486,1,-1,-1,-1,-1,-1
d487,1,-1,-1,-1,-1,0
d488,1,-1,-1,-1,-1,1
d489,1,-1,-1,-1,0,-1
d490,1,-1,-1,-1,0,0
d491,1,-1,-1,-1,0,1
d492,1,-1,-1,-1,1,-1
d493,1,-1,-1,-1,1,0
d494,1,-1,-1,-1,1,1
d495,1,-1,-1,0,-1,-1
d496,1,-1,-1,0,-1,0
d497,1,-1,-1,0,-1,1
d498,1,-1,-1,0,0,-1
d499,1,-1,-1,0,0,0
d500,1,-1,-1,0,0,1
d501,1,-1,-1,0,1,-1
d502,1,-1,-1,0,1,0
d503,1,-1,-1,0,1,1
d504,1,-1,-1,1,-1,-1
d505,1,-1,-1,1,-1,0
d506,1,-1,-1,1,-1,1
d507,1,-1,-1,1,0,-1
d508,1,-1,-1,1,0,0
d509,1,-1,-1,1,0,1
d510,1,-1,-1,1,1,-1
d511,1,-1,-1,1,1,0
d512,1,-1,-1,1,1,1
d513,1,-1,0,-1,-1,-1
d514,1,-1,0,-1,-1,0
d515,1,-1,0,-1,-1,1
d516,1,-1,0,-1,0,-1
d517,1,-1,0,-1,0,0
d518,1,-1,0,-1,0,1
d519,1,-1,0,-1,1,-1
d520,1,-1,0,-1,1,0
d521,1,-1,0,-1,1,1
d522,1,-1,0,0,-1,-1
d523,1,-1,0,0,-1,0
d524,1,-1,0,0,-1,1
d525,1,-1,0,0,0,-1
d526,1,-1,0,0,0,0
d527,1,-1,0,0,0,1
d528,1,-1,0,0,1,-1
d529,1,-1,0,0,1,0
d530,1,-1,0,0,1,1
d531,1,-1,0,1,-1,-1
d532,1,-1,0,1,-1,0
d533,1,-1,0,1,-1,1
d534,1,-1,0,1,0,-1
d535,1,-1,0,1,0,0
d536,1,-1,0,1,0,1
d537,1,-1,0,1,1,-1
d538,1,-1,0,1,1,0
d539,1,-1,0,1,1,1
d540,1,-1,1,-1,-1,-1
d541,1,-1,1,-1,-1,0
d542,1,-1,1,-1,-1,1
d543,1,-1,1,-1,0,-1
d544,1,-1,1,-1,0,0
d545,1,-1,1,-1,0,1
d546,1,-1,1,-1,1,-1
d547,1,-1,1,-1,1,0
d548,1,-1,1,-1,1,1
d549,1,-1,1,0,-1,-1
d550,1,-1,1,0,-1,0
d551,1,-1,1,0,-1,1
d552,1,-1,1,0,0,-1
d553,1,-1,1,0,0,0
d554,1,-1,1,0,0,1
d555,1,-1,1,0,1,-1
d556,1,-1,1,0,1,0
d557,1,-1,1,0,1,1
d558,1,-1,1,1,-1,-1
d559,1,-1,1,1,-1,0
d560,1,-1,1,1,-1,1
d561,1,-1,1,1,0,-1
d562,1,-1,1,1,0,0
d563,1,-1,1,1,0,1
d564,1,-1,1,1,1,-1
d565,1,-1,1,1,1,0
d566,1,-1,1,1,1,1
d567,1,0,-1,-1,-1,-1
d568,1,0,-1,-1,-1,0
d569,1,0,-1,-1,-1,1
d570,1,0,-1,-1,0,-1
d571,1,0,-1,-1,0,0
d572,1,0,-1,-1,0,1
d573,1,0,-1,-1,1,-1
d574,1,0,-1,-1,1,0
d575,1,0,-1,-1,1,1
d576,1,0,-1,0,-1,-1
d577,1,0,-1,0,-1,0
d578,1,0,-1,0,-1,1
d579,1,0,-1,0,0,-1
d580,1,0,-1,0,0,0
d581,1,0,-1,0,0,1
d582,1,0,-1,0,1,-1
d583,1,0,-1,0,1,0
d584,1,0,-1,0,1,1
d585,1,0,-1,1,-1,-1
d586,1,0,-1,1,-1,0
d587,1,0,-1,1,-1,1
d588,1,0,-1,1,0,-1
d589,1,0,-1,1,0,0
d590,1,0,-1,1,0,1
d591,1,0,-1,1,1,-1
d592,1,0,-1,1,1,0
d593,1,0,-1,1,1,1
d594,1,0,0,-1,-1,-1
d595,1,0,0,-1,-1,0
d596,1,0,0,-1,-1,1
d597,1,0,0,-1,0,-1
d598,1,0,0,-1,0,0
d599,1,0,0,-1,0,1
d600,1,0,0,-1,1,-1
d601,1,0,0,-1,1,0
d602,1,0,0,-1,1,1
d603,1,0,0,0,-1,-1
d604,1,0,0,0,-1,0
d605,1,0,0,0,-1,1
d606,1,0,0,0,0,-1
d607,1,0,0,0,0,0
d608,1,0,0,0,0,1
d609,1,0,0,0,1,-1
d610,1,0,0,0,1,0
d611,1,0,0,0,1,1
d612,1,0,0,1,-1,-1
d613,1,0,0,1,-1,0
d614,1,0,0,1,-1,1
d615,1,0,0,1,0,-1
d616,1,0,0,1,0,0
d617,1,0,0,1,0,1
d618,1,0,0,1,1,-1
d619,1,0,0,1,1,0
d620,1,0,0,1,1,1
d621,1,0,1,-1,-1,-1
d622,1,0,1,-1,-1,0
d623,1,0,1,-1,-1,1
d624,1,0,1,-1,0,-1
d625,1,0,1,-1,0,0
d626,1,0,1,-1,0,1
d627,1,0,1,-1,1,-1
d628,1,0,1,-1,1,0
d629,1,0,1,-1,1,1
d630,1,0,1,0,-1,-1
d631,1,0,1,0,-1,0
d632,1,0,1,0,-1,1
d633,1,0,1,0,0,-1
d634,1,0,1,0,0,0
d635,1,0,1,0,0,1
d636,1,0,1,0,1,-1
d637,1,0,1,0,1,0
d638,1,0,1,0,1,1
d639,1,0,1,1,-1,-1
d640,1,0,1,1,-1,0
d641,1,0,1,1,-1,1
d642,1,0,1,1,0,-1
d643,1,0,1,1,0,0
d644,1,0,1,1,0,1
d645,1,0,1,1,1,-1
d646,1,0,1,1,1,0
d647,1,0,1,1,1,1
d648,1,1,-1,-1,-1,-1
d649,1,1,-1,-1,-1,0
d650,1,1,-1,-1,-1,1
d651,1,1,-1,-1,0,-1
d652,1,1,-1,-1,0,0
d653,1,1,-1,-1,0,1
d654,1,1,-1,-1,1,-1
d655,1,1,-1,-1,1,0
d656,1,1,-1,-1,1,1
d657,1,1,-1,0,-1,-1
d658,1,1,-1,0,-1,0
d659,1,1,-1,0,-1,1
d660,1,1,-1,0,0,-1
d661,1,1,-1,0,0,0
d662,1,1,-1,0,0,1
d663,1,1,-1,0,1,-1
d664,1,1,-1,0,1,0
d665,1,1,-1,0,1,1
d666,1,1,-1,1,-1,-1
d667,1,1,-1,1,-1,0
d668,1,1,-1,1,-1,1
d669,1,1,-1,1,0,-1
d670,1,1,-1,1,0,0
d671,1,1,-1,1,0,1
d672,1,1,-1,1,1,-1
d673,1,1,-1,1,1,0
d674,1,1,-1,1,1,1
d675,1,1,0,-1,-1,-1
d676,1,1,0,-1,-1,0
d677,1,1,0,-1,-1,1
d678,1,1,0,-1,0,-1
d679,1,1,0,-1,0,0
d680,1,1,0,-1,0,1
d681,1,1,0,-1,1,-1
d682,1,1,0,-1,1,0
d683,1,1,0,-1,1,1
d684,1,1,0,0,-1,-1
d685,1,1,0,0,-1,0
d686,1,1,0,0,-1,1
d687,1,1,0,0,0,-1
d688,1,1,0,0,0,0
d689,1,1,0,0,0,1
d690,1,1,0,0,1,-1
d691,1,1,0,0,1,0
d692,1,1,0,0,1,1
d693,1,1,0,1,-1,-1
d694,1,1,0,1,-1,0
d695,1,1,0,1,-1,1
d696,1,1,0,1,0,-1
