NLP_Solver,k,Objective,Time (s)
knitro,L2,167427.65710272908,4.435163736343384
knitro,Linf,167427.65710272905,11.571666479110718
baron,L2,167427.65710272905,5.39567756652832
baron,Linf,167427.65710272902,11.289292573928833
