Solver,k,Objective,Time
knitro,Linf,19346.124801171078,76.94611406326294
knitro,L2,19449.85151196701,13.004862308502197
baron,Linf,19346.124802225793,18.10545325279236
baron,L2,19449.851511967005,13.560934066772461
