Method,Approach,Solver,Objective,Time,Status
MINLP,bigm,antigone,3.0620145766185254,0.054999953135848045,infeasible
MINLP,hull,antigone,3.062014576137941,57.052000192925334,optimal
MINLP,bigm,scip,3.062014576622726,215.46399991493672,optimal
MINLP,hull,scip,3.0619985863697003,343.38299967348576,optimal
MINLP,bigm,baron,3.061745612892784,265.48700043931603,optimal
MINLP,hull,baron,3.061838828171169,644.5750003214926,optimal
GDPopt,LOA,msnlp,4.061881684530917,1.0105548000428826,optimal
GDPopt,LOA,baron,4.061475536696682,4.606003399938345,optimal
GDPopt,LOA,conopt,9.894736842036487,4.475885899970308,optimal
MINLP,bigm,dicopt,3.1343370364263015,0.10100025683641434,optimal
MINLP,hull,dicopt,4.061881684530911,0.28200033120810986,optimal
MINLP,bigm,sbb,3.130198133025038,0.18399995751678944,optimal
MINLP,hull,sbb,4.061881684521816,0.04100007936358452,optimal
MINLP,bigm,alphaecp,3.0620145764266047,123.59900018200278,optimal
MINLP,hull,alphaecp,3.0620145766163187,29.5049998909235,optimal
GDPopt,GLOA,msnlp,3.0620145766202533,7.648713400121778,optimal
GDPopt,GLOA,baron,3.062013822355507,35.47294540004805,optimal
GDPopt,GLOA,conopt,9.894736842036487,4.505481499945745,optimal
MINLP,bigm,knitro,3.062014562477356,0.8869998157024384,optimal
MINLP,hull,knitro,3.062014576618525,0.3629996906965971,optimal
MINLP,bigm,lindoglobal,3.0619980000429523,730.4640002315864,optimal
MINLP,hull,lindoglobal,3.062002627457931,174.12300005089492,optimal
GDPopt,LBB,scip,3.062007264602618,730.4851067999844,optimal
GDPopt,LBB,baron,3.06195081164513,183.451548299985,optimal
