Point,x,y,Objective,Status
"[16, 5]",16,5,3.5756578426780625,Optimal
"[16, 6]",16,6,3.575657842678053,Optimal
"[16, 7]",16,7,3.575657842190822,Optimal
"[16, 8]",16,8,3.5756578426780483,Optimal
"[16, 9]",16,9,3.5756578425803975,Optimal
"[16, 10]",16,10,3.575647713409016,Optimal
"[16, 11]",16,11,3.569080903862059,Optimal
"[16, 12]",16,12,3.501294397361234,Optimal
"[16, 13]",16,13,3.3633154765397113,Optimal
"[16, 14]",16,14,3.1853178008367276,Optimal
"[16, 15]",16,15,2.999242403047115,Optimal
"[16, 16]",16,16,2.8218856949122366,Optimal
"[17, 1]",17,1,3.5876558131802208,Optimal
"[17, 2]",17,2,3.5876558131802287,Optimal
"[17, 3]",17,3,3.5876240595341216,Optimal
"[17, 4]",17,4,3.587650683546494,Optimal
"[17, 5]",17,5,3.5876558131802647,Optimal
"[17, 6]",17,6,3.5876558131802607,Optimal
"[17, 7]",17,7,3.5876449129835963,Optimal
"[17, 8]",17,8,3.5876527717739677,Optimal
"[17, 9]",17,9,3.587626395766023,Optimal
"[17, 10]",17,10,3.587655698312757,Optimal
"[17, 11]",17,11,3.5876506292114625,Optimal
"[17, 12]",17,12,3.563430097534524,Optimal
"[17, 13]",17,13,3.473732337372115,Optimal
"[17, 14]",17,14,3.328537631677905,Optimal
"[17, 15]",17,15,3.1564561983187747,Optimal
"[17, 16]",17,16,2.981424385831019,Optimal
"[17, 17]",17,17,2.8152661477998757,Optimal
"[18, 1]",18,1,3.598247786392262,Optimal
"[18, 2]",18,2,3.598252243577416,Optimal
"[18, 3]",18,3,3.5982506100642233,Optimal
"[18, 4]",18,4,3.5982313642165438,Optimal
"[18, 5]",18,5,3.598251785563375,Optimal
"[18, 6]",18,6,3.598247461325975,Optimal
"[18, 7]",18,7,3.598252243577448,Optimal
"[18, 8]",18,8,3.598252243577447,Optimal
"[18, 9]",18,9,3.59824115884219,Optimal
"[18, 10]",18,10,3.598252243577447,Optimal
"[18, 11]",18,11,3.598252053930103,Optimal
"[18, 12]",18,12,3.5952092959106374,Optimal
"[18, 13]",18,13,3.548369454760373,Optimal
"[18, 14]",18,14,3.4431888838022684,Optimal
"[18, 15]",18,15,3.2956950142586368,Optimal
"[18, 16]",18,16,3.130582943527196,Optimal
"[18, 17]",18,17,2.965628225190794,Optimal
"[18, 18]",18,18,2.8093800416722834,Optimal
"[19, 1]",19,1,3.6076720941121527,Optimal
"[19, 2]",19,2,3.6076800331014995,Optimal
"[19, 3]",19,3,3.6076800322831333,Optimal
"[19, 4]",19,4,3.6076800331014973,Optimal
"[19, 5]",19,5,3.6076797953998745,Optimal
"[19, 6]",19,6,3.6076755859156813,Optimal
"[19, 7]",19,7,3.6076611621013153,Optimal
"[19, 8]",19,8,3.607680033097287,Optimal
"[19, 9]",19,9,3.6076528697198356,Optimal
"[19, 10]",19,10,3.6076709393839,Optimal
"[19, 11]",19,11,3.6076756577109697,Optimal
"[19, 12]",19,12,3.6076431007952308,Optimal
"[19, 13]",19,13,3.5927886462289083,Optimal
"[19, 14]",19,14,3.526987454786079,Optimal
"[19, 15]",19,15,3.4118079209422305,Optimal
"[19, 16]",19,16,3.2651636540621336,Optimal
"[19, 17]",19,17,3.107315810317674,Optimal
"[19, 18]",19,18,2.951541891781127,Optimal
"[19, 19]",19,19,2.804125207820329,Optimal
"[20, 1]",20,1,3.6161229931912,Optimal
"[20, 2]",20,2,3.616122993191382,Optimal
"[20, 3]",20,3,3.616122993191198,Optimal
"[20, 4]",20,4,3.616122992020197,Optimal
"[20, 5]",20,5,3.6161228464959123,Optimal
"[20, 6]",20,6,3.616121678747557,Optimal
"[20, 7]",20,7,3.6161112016783465,Optimal
"[20, 8]",20,8,3.6161229931913663,Optimal
"[20, 9]",20,9,3.6161160868787277,Optimal
"[20, 10]",20,10,3.616122993191366,Optimal
"[20, 11]",20,11,3.616122993191366,Optimal
"[20, 12]",20,12,3.616122990933386,Optimal
"[20, 13]",20,13,3.6149339141923935,Optimal
"[20, 14]",20,14,3.5823294417413094,Optimal
"[20, 15]",20,15,3.5017787786124566,Optimal
"[20, 16]",20,16,3.3808864362459303,Optimal
"[20, 17]",20,17,3.2370052111201337,Optimal
"[20, 18]",20,18,3.086344466962415,Optimal
"[20, 19]",20,19,2.938902130415892,Optimal
"[20, 20]",20,20,2.7994059596105214,Optimal
"[21, 1]",21,1,3.6237119869660788,Optimal
"[21, 2]",21,2,3.623708531461123,Optimal
"[21, 3]",21,3,3.6237147110897454,Optimal
"[21, 4]",21,4,3.623725634460188,Optimal
"[21, 5]",21,5,3.6237281827310657,Optimal
"[21, 6]",21,6,3.623728182731072,Optimal
"[21, 7]",21,7,3.623728182731072,Optimal
"[21, 8]",21,8,3.623728182731072,Optimal
"[21, 9]",21,9,3.623728069669879,Optimal
"[21, 10]",21,10,3.623728182731072,Optimal
"[21, 11]",21,11,3.6237281827310737,Optimal
"[21, 12]",21,12,3.6237243825003915,Optimal
"[21, 13]",21,13,3.6236913425305013,Optimal
"[21, 14]",21,14,3.6147097778424033,Optimal
"[21, 15]",21,15,3.5659386563950375,Optimal
"[21, 16]",21,16,3.474615126555946,Optimal
"[21, 17]",21,17,3.3511476571997694,Optimal
"[21, 18]",21,18,3.211123951098296,Optimal
"[21, 19]",21,19,3.067377326166839,Optimal
"[21, 20]",21,20,2.9275175386016805,Optimal
"[21, 21]",21,21,2.7951269898892974,Optimal
"[22, 1]",22,1,3.6306146872447376,Optimal
"[22, 2]",22,2,3.630614499918445,Optimal
"[22, 3]",22,3,3.630604193556437,Optimal
"[22, 4]",22,4,3.6305753959104483,Optimal
"[22, 5]",22,5,3.6306146872450915,Optimal
"[22, 6]",22,6,3.630595878223766,Optimal
"[22, 7]",22,7,3.6305966724219814,Optimal
"[22, 8]",22,8,3.6306146872450915,Optimal
"[22, 9]",22,9,3.630595289765256,Optimal
"[22, 10]",22,10,3.630614522424015,Optimal
"[22, 11]",22,11,3.6306145982684694,Optimal
"[22, 12]",22,12,3.630602446335231,Optimal
"[22, 13]",22,13,3.630614685906789,Optimal
"[22, 14]",22,14,3.6303066850292742,Optimal
"[22, 15]",22,15,3.607615492128525,Optimal
"[22, 16]",22,16,3.545486667632881,Optimal
"[22, 17]",22,17,3.4467860427033834,Optimal
"[22, 18]",22,18,3.3229533199873167,Optimal
"[22, 19]",22,19,3.1873723164510275,Optimal
"[22, 20]",22,20,3.050165774230224,Optimal
"[22, 21]",22,21,2.9171935526061237,Optimal
"[22, 22]",22,22,2.7912499712824363,Optimal
"[23, 1]",23,1,3.6368799857475316,Optimal
"[23, 2]",23,2,3.636840099203443,Optimal
"[23, 3]",23,3,3.6368718284206336,Optimal
"[23, 4]",23,4,3.6368597727327914,Optimal
"[23, 5]",23,5,3.63687675086543,Optimal
"[23, 6]",23,6,3.6368795305142365,Optimal
"[23, 7]",23,7,3.6368747640116528,Optimal
"[23, 8]",23,8,3.636872711568115,Optimal
"[23, 9]",23,9,3.6368799877677276,Optimal
"[23, 10]",23,10,3.636870805824763,Optimal
"[23, 11]",23,11,3.6368620800772726,Optimal
"[23, 12]",23,12,3.636862500481646,Optimal
"[23, 13]",23,13,3.636879987504685,Optimal
"[23, 14]",23,14,3.6368798276666627,Optimal
"[23, 15]",23,15,3.631583234219357,Optimal
"[23, 16]",23,16,3.595143464489496,Optimal
"[23, 17]",23,17,3.5224818545350907,Optimal
"[23, 18]",23,18,3.4191853135523536,Optimal
"[23, 19]",23,19,3.296450180105039,Optimal
"[23, 20]",23,20,3.165555500345106,Optimal
"[23, 21]",23,21,3.034477486166881,Optimal
"[23, 22]",23,22,2.9078066886824243,Optimal
"[23, 23]",23,23,2.787701698312113,Optimal
