Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736842110143,Optimal,0.056999665684998,1.0580623862333596
"[2, 1]",2,1,4.06188168439088,Optimal,0.249999901279807,13.44576749810949
"[2, 2]",2,2,4.061881684429396,Optimal,0.049999728798866,14.57892397325486
"[3, 1]",3,1,3.314845394626809,Optimal,0.709999795071781,26.78083055699244
"[3, 2]",3,2,9.894736842105251,Evaluated_Infeasible,1.545999711379409,29.54394379630685
"[3, 3]",3,3,3.314845403072497,Optimal,0.050000357441604,30.68670241907239
"[4, 1]",4,1,3.1343370234737566,Optimal,0.082000158727169,41.50506102619693
"[4, 2]",4,2,3.134337036452691,Optimal,0.119000184349716,42.69881033618003
"[4, 3]",4,3,3.134337023570814,Optimal,1.317000249400735,45.2260324889794
"[4, 4]",4,4,3.133783883085088,Optimal,0.049999728798866,46.36262068524957
"[5, 1]",5,1,3.1301981247761033,Optimal,0.522000412456691,56.8652342800051
"[5, 2]",5,2,3.130198132676317,Optimal,0.263000233098865,58.36563824908808
"[5, 3]",5,3,3.1301981330342423,Optimal,0.248999730683863,59.696986460126936
"[5, 4]",5,4,3.130198132914238,Optimal,0.121000525541604,61.04343434702605
"[5, 5]",5,5,3.062014576618726,Optimal,0.05099989939481,62.17530582193285
"[6, 1]",6,1,3.200976586463088,Optimal,0.230000261217356,71.71131025487557
"[6, 2]",6,2,3.20097659452931,Optimal,0.071999710053205,72.86932258214802
"[6, 3]",6,3,3.20097659426574,Optimal,0.093000149354339,74.18103106413037
"[6, 4]",6,4,3.2009765952577,Optimal,0.083000329323113,75.34393503610045
"[6, 5]",6,5,3.200976594068413,Optimal,0.068999826908112,76.6357422391884
"[6, 6]",6,6,3.007277974300578,Optimal,0.052000069990754,77.75781051814556
"[7, 1]",7,1,3.287151346993789,Optimal,0.051000528037548,86.30616453010589
"[7, 2]",7,2,3.287151346392507,Optimal,0.244999676942825,87.76981179602444
"[7, 3]",7,3,3.2871513561176595,Optimal,0.099000544287264,88.93482433026657
"[7, 4]",7,4,3.2871513561574552,Optimal,0.28400004375726,90.43862327188253
"[7, 5]",7,5,3.287151356955081,Optimal,0.311999791301787,91.95770245511085
"[7, 6]",7,6,3.269433831527254,Optimal,0.065000401809812,93.08075896417722
"[7, 7]",7,7,2.966047072288887,Optimal,0.039999908767641,94.33267733408138
"[8, 1]",8,1,3.356175235130184,Optimal,0.039999908767641,101.92346246913075
"[8, 2]",8,2,3.3561752245655816,Optimal,0.061000348068774,103.19096516305581
"[8, 3]",8,3,3.356175235130872,Optimal,0.086999754421413,104.34735612291843
"[8, 4]",8,4,3.356175234903177,Optimal,0.071000168099999,105.61523643927649
"[8, 5]",8,5,3.356175234958582,Optimal,0.28400004375726,106.9610624271445
"[8, 6]",8,6,3.35617523513033,Optimal,0.085000041872263,108.25003334507346
"[8, 7]",8,7,3.2627898454355435,Optimal,0.078000104986131,109.39024202525616
"[8, 8]",8,8,2.934405103087371,Optimal,0.039999908767641,110.62842353619635
"[9, 1]",9,1,3.407928672212563,Optimal,0.040999450720847,117.6059739291668
"[9, 2]",9,2,3.4079286722131537,Optimal,0.11100007686764,118.79388994397596
"[9, 3]",9,3,3.407928660490399,Optimal,0.082999700680375,120.09958337526768
"[9, 4]",9,4,3.407928672548963,Optimal,0.258999550715089,121.4238128750585
"[9, 5]",9,5,3.4079286722125532,Optimal,0.077999476343393,122.55418163817376
"[9, 6]",9,6,3.4079286752805,Optimal,0.225000036880374,123.98278976604342
"[9, 7]",9,7,3.4005717137251485,Optimal,0.082000158727169,125.12884989194572
"[9, 8]",9,8,3.2220388140191187,Optimal,0.079999817535281,126.41932870307937
"[9, 9]",9,9,2.9095332619150502,Optimal,0.041000079363585,127.527655353304
"[10, 1]",10,1,3.4479640316602724,Optimal,0.049999728798866,133.81542697316036
"[10, 2]",10,2,3.447964019713042,Optimal,0.340000167489052,135.37696820916608
"[10, 3]",10,3,3.447964031660931,Optimal,0.068000284954906,136.51135203428566
"[10, 4]",10,4,9.894736842105251,Evaluated_Infeasible,0.413000048138201,138.13757638912648
"[10, 5]",10,5,3.447964032518595,Optimal,0.276000564917922,139.48625420732424
"[10, 6]",10,6,3.4479640330658334,Optimal,0.282999873161316,140.99208913417533
"[10, 7]",10,7,3.4479640218305416,Optimal,0.069999997504056,142.1243896242231
"[10, 8]",10,8,3.3998301435141838,Optimal,0.294000492431223,143.47521732421592
"[10, 9]",10,9,3.1770023600911066,Optimal,0.090999808162451,144.78031113697216
"[10, 10]",10,10,2.889536968602472,Optimal,0.041000079363585,145.8901326050982
"[11, 1]",11,1,3.4799016811168997,Optimal,0.045000133104622,151.5098033612594
"[11, 2]",11,2,3.4799016701382413,Optimal,0.274000223726034,152.84027280611917
"[11, 3]",11,3,3.479901681117529,Optimal,0.080999988131225,153.9822352649644
"[11, 4]",11,4,3.479901683463331,Optimal,0.450999615713954,155.64548215596005
"[11, 5]",11,5,3.4799016821646007,Optimal,0.319999898783863,157.0442785383202
"[11, 6]",11,6,3.479901682167262,Optimal,0.303999683819711,158.5465498189442
"[11, 7]",11,7,3.479901682077876,Optimal,0.333999772556126,159.93718767818063
"[11, 8]",11,8,3.4774899536076886,Optimal,0.079000275582075,161.20619828999043
"[11, 9]",11,9,3.371584588075973,Optimal,0.069999997504056,162.34238716727123
"[11, 10]",11,10,3.1359255474926266,Optimal,0.068999826908112,163.6162606002763
"[11, 11]",11,11,2.873140226266973,Optimal,0.041000079363585,164.72701365314424
"[12, 1]",12,1,3.5060040431759902,Optimal,0.072999880649149,169.64140197401866
"[12, 2]",12,2,3.5060040318071817,Optimal,0.108999735675752,170.98321761004627
"[12, 3]",12,3,3.5060040353912445,Optimal,0.45500029809773,172.51049672998488
"[12, 4]",12,4,3.506004046862855,Optimal,0.50799991004169,174.0923534249887
"[12, 5]",12,5,3.506004044440604,Optimal,0.362999690696597,175.68596557108685
"[12, 6]",12,6,3.506004043176439,Optimal,0.193000235594809,176.95319621125236
"[12, 7]",12,7,3.50600404556402,Optimal,0.325000123120844,178.52832118421793
"[12, 8]",12,8,3.5060040335290807,Optimal,0.289999810047448,179.8962819762528
"[12, 9]",12,9,3.4808370972094766,Optimal,0.083999871276319,181.18628488201648
"[12, 10]",12,10,3.3326396737881927,Optimal,0.085000041872263,182.33675522729754
"[12, 11]",12,11,3.100149722682368,Optimal,0.44600002001971,183.9958281200379
"[12, 12]",12,12,2.859465595656078,Optimal,0.039999908767641,185.10342262499034
"[13, 1]",13,1,3.527753831663877,Optimal,0.069999997504056,189.39379843417555
"[13, 2]",13,2,3.527753831663617,Optimal,0.10000008624047,190.57033860031515
"[13, 3]",13,3,3.5277538316638246,Optimal,0.108999735675752,191.88163964496925
"[13, 4]",13,4,3.5277538208417303,Optimal,0.281000160612166,193.23249248228967
"[13, 5]",13,5,3.5277538308947225,Optimal,0.11100007686764,194.58071250421926
"[13, 6]",13,6,3.5277538314533956,Optimal,0.293999863788486,195.94928883295506
"[13, 7]",13,7,3.5277538333606766,Optimal,0.282999873161316,197.4574313890189
"[13, 8]",13,8,3.5277538334272704,Optimal,0.303000141866505,198.84484007023275
"[13, 9]",13,9,3.5272915187943226,Optimal,0.43500002939254,200.52543950732797
"[13, 10]",13,10,3.463104632202333,Optimal,0.12200006749481,201.7187133631669
"[13, 11]",13,11,3.291875546985208,Optimal,0.336000113748014,203.26567671401426
"[13, 12]",13,12,3.0692951422991,Optimal,0.087999925017357,204.42540893005207
"[13, 13]",13,13,2.8478946322249716,Optimal,0.05299961194396,205.71487288502976
"[14, 1]",14,1,3.5461656127307863,Optimal,0.059000006876886,209.1579787172377
"[14, 2]",14,2,3.5461656024091748,Optimal,0.089999637566507,210.32486895425245
"[14, 3]",14,3,3.546165602121089,Optimal,0.126999663189054,211.70709069026634
"[14, 4]",14,4,3.5461656127501953,Optimal,0.086000212468207,212.87260513613
"[14, 5]",14,5,3.546165613200009,Optimal,0.12399978004396,214.22722491296008
