Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736582763436,Optimal,0.048000016249716,0.6630137045867741
"[2, 1]",2,1,4.061881684475008,Optimal,0.289999810047448,4.830348475836217
"[2, 2]",2,2,4.061881684316335,Optimal,0.037000025622547,5.456712376791984
"[3, 1]",3,1,3.3148454030726837,Optimal,0.054999953135848,9.026116999797523
"[3, 2]",3,2,3.31484538487946,Optimal,0.251999613828957,9.86900387890637
"[3, 3]",3,3,3.3148454001831116,Optimal,0.045999675057828,10.592566458974034
"[4, 1]",4,1,3.134337023762791,Optimal,0.262999604456127,13.98633733484894
"[4, 2]",4,2,3.1343370364211243,Optimal,0.236000027507544,14.811779264826328
"[4, 3]",4,3,9.894736832463655,Evaluated_Infeasible,0.389999896287918,15.879401316866279
"[4, 4]",4,4,3.133783883104721,Optimal,0.036000483669341,16.508699307683855
"[5, 1]",5,1,3.13019812435367,Optimal,0.046000303700566,19.394553664606065
"[5, 2]",5,2,3.1301981335401106,Optimal,0.086999754421413,20.148919309023768
"[5, 3]",5,3,3.130198133395372,Optimal,0.260000349953771,20.996856154873967
"[5, 4]",5,4,3.130198133085039,Optimal,0.207000109367073,21.7782190348953
"[5, 5]",5,5,3.0620145622640003,Optimal,0.049999728798866,22.50954738492146
"[6, 1]",6,1,3.2009765945854793,Optimal,0.065999943763018,24.973588553722948
"[6, 2]",6,2,3.2009765939302266,Optimal,0.116000301204622,25.753094957675785
"[6, 3]",6,3,3.20097659341116,Optimal,0.069999997504056,26.405812438577414
"[6, 4]",6,4,3.2009765944092505,Optimal,0.241999793797731,27.233770169783384
"[6, 5]",6,5,3.2009765945855806,Optimal,0.06399960257113,28.003831673879176
"[6, 6]",6,6,3.0072779743004103,Optimal,0.046999845653772,28.639106653630733
"[7, 1]",7,1,3.2871513472013727,Optimal,0.073000509291887,30.847708626650274
"[7, 2]",7,2,3.287151356376246,Optimal,0.299000088125467,31.810516082681715
"[7, 3]",7,3,3.287151353468662,Optimal,0.306999566964805,32.71335556777194
"[7, 4]",7,4,3.2871513559637244,Optimal,0.065999943763018,33.38189764460549
"[7, 5]",7,5,3.287151356520104,Optimal,0.553999585099518,34.625554993748665
"[7, 6]",7,6,3.269433831534145,Optimal,0.189999723806977,36.17233203165233
"[7, 7]",7,7,2.966047059073433,Optimal,0.045000133104622,37.15012309374288
"[8, 1]",8,1,3.3561752258747175,Optimal,0.16199997626245,39.6720374180004
"[8, 2]",8,2,3.356175235209443,Optimal,0.311999791301787,41.08989656995982
"[8, 3]",8,3,3.356175235130125,Optimal,0.206999480724335,42.15363180078566
"[8, 4]",8,4,3.356175235124391,Optimal,0.274000223726034,43.13813137868419
"[8, 5]",8,5,3.356175235131096,Optimal,0.130999716930091,44.22124692797661
"[8, 6]",8,6,3.356175223540378,Optimal,0.130000174976885,45.325133356731385
"[8, 7]",8,7,3.2627898454357123,Optimal,0.200000172480941,46.778445643838495
"[8, 8]",8,8,2.934405103087383,Optimal,0.111999618820846,47.71529254876077
"[9, 1]",9,1,3.407928662517321,Optimal,0.307000195607543,49.60778949782252
"[9, 2]",9,2,3.4079286722132967,Optimal,0.075999763794243,50.44824331998825
"[9, 3]",9,3,3.407928672213175,Optimal,0.078999646939337,51.14751168061048
"[9, 4]",9,4,3.407928672361816,Optimal,0.344999763183296,52.22529600188136
"[9, 5]",9,5,3.407928672212786,Optimal,0.076999934390187,52.91894401796162
"[9, 6]",9,6,3.4079286722130377,Optimal,0.071000168099999,53.5899248868227
"[9, 7]",9,7,3.400571713725406,Optimal,0.079000275582075,54.392054236959666
"[9, 8]",9,8,3.222038820994543,Optimal,0.090000266209245,55.095897745806724
"[9, 9]",9,9,2.9095332619149197,Optimal,0.056000123731792,55.87028028676286
"[10, 1]",10,1,3.4479640316600566,Optimal,0.054999953135848,57.02110701659694
"[10, 2]",10,2,3.447964021118316,Optimal,0.071000168099999,57.71042029559612
"[10, 3]",10,3,3.447964032004778,Optimal,0.248000188730657,58.54455474577844
"[10, 4]",10,4,3.4479640316607316,Optimal,0.153999868780375,59.3550243107602
"[10, 5]",10,5,3.4479640188288947,Optimal,0.137999653816223,60.07116791699082
"[10, 6]",10,6,3.447964032113316,Optimal,0.407999823801219,61.22954396996647
"[10, 7]",10,7,3.4479640316602005,Optimal,0.145999761298299,61.9922839817591
"[10, 8]",10,8,3.3998301580770174,Optimal,0.065999943763018,62.66456542676315
"[10, 9]",10,9,3.177002345845991,Optimal,0.109999906271696,63.51223083678633
"[10, 10]",10,10,2.889536968602374,Optimal,0.043999962508678,64.16626332281157
"[10, 10]",10,10,2.889536968602374,Final,0.052000069990754,64.94988302467391
