Method,Approach,Solver,Objective,Time,Status,User_time
D-SDA_MIP_bigm,k=Infinity,knitro,19346.1247120775,30.54,optimal,1.4569989871233668
D-SDA_MIP_hull,k=Infinity,knitro,22271.548536275586,5.55,optimal,0
D-SDA_MIP_bigm,k=2,knitro,19449.851410424104,23.4,optimal,1.2539989314973359
D-SDA_MIP_hull,k=2,knitro,22271.548536275586,4.04,optimal,0
D-SDA_MIP_bigm,k=Infinity,baron,22271.54853627558,903.59,maxTimeLimit,901.7260000342503
D-SDA_MIP_hull,k=Infinity,baron,22271.548536275586,5.34,optimal,0
D-SDA_MIP_bigm,k=2,baron,22271.54848384049,904.78,maxTimeLimit,903.0240001855418
D-SDA_MIP_hull,k=2,baron,22271.548536275586,4.04,optimal,0
