Method,Approach,Solver,Objective,Time,Status,User_time,NT
MINLP,hull,sbb,2.966047072,83.07999973,optimal,NA,7
MINLP,bigm,knitro,2.966047059,1.235000091,optimal,NA,7
MINLP,hull,knitro,2.966047072,1.373999915,optimal,NA,7
GDPopt,LOA,knitro,9.89473684,25.4945451,optimal,NA,7
GDPopt,GLOA,knitro,9.89473684,25.5273352,optimal,NA,7
GDPopt,LBB,knitro,2.966047072,400.0249157,optimal,NA,7
GDPopt,LOA,baron,4.061881685,4.1704633,optimal,NA,7
GDPopt,GLOA,baron,2.966047072,72.8675294,optimal,NA,7
GDPopt,LBB,baron,2.966047072,379.6973772,optimal,NA,7
D-SDA_MIP_bigm,k=Infinity,knitro,2.966047072,4.81,optimal,0.320000527,7
D-SDA_MIP_hull,k=Infinity,knitro,2.966047072,6.7,optimal,0.559999351,7
D-SDA_MIP_bigm,k=2,knitro,3.130198125,3.75,optimal,0.234999228,7
D-SDA_MIP_hull,k=2,knitro,3.130198133,5.31,optimal,0.26200132,7
D-SDA_MIP_bigm,k=Infinity,baron,2.966046837,252.77,optimal,248.0659995,7
D-SDA_MIP_hull,k=Infinity,baron,2.966047072,352.42,optimal,346.3870004,7
D-SDA_MIP_bigm,k=2,baron,3.130198133,205.17,optimal,201.8239996,7
D-SDA_MIP_hull,k=2,baron,3.130198133,413.68,optimal,408.7999999,7
MINLP,bigm,antigone,9.894736842,0.063000061,infeasible,NA,8
MINLP,hull,antigone,2.934405103,900.3829997,optimal,NA,8
MINLP,bigm,baron,2.93440487,1083.813,optimal,NA,8
MINLP,hull,baron,2.934388805,900.3829997,optimal,NA,8
MINLP,bigm,scip,2.934404688,781.9890005,optimal,NA,8
MINLP,hull,scip,2.934405099,900.5749998,optimal,NA,8
MINLP,bigm,dicopt,2.93440509,3.005000297,optimal,NA,8
MINLP,hull,dicopt,2.934405103,2.950000344,optimal,NA,8
MINLP,bigm,sbb,2.934405095,15.62599966,optimal,NA,8
MINLP,hull,sbb,2.934405102,0.863000122,optimal,NA,8
MINLP,bigm,knitro,3.007277961,27.42899966,optimal,NA,8
MINLP,hull,knitro,2.934405103,1.347000338,optimal,NA,8
GDPopt,LOA,knitro,9.894736842,39.7292931,optimal,NA,8
GDPopt,GLOA,knitro,9.894736842,40.1082354,optimal,NA,8
GDPopt,LBB,knitro,2.934405103,664.2236922,optimal,NA,8
GDPopt,LOA,baron,4.061881684,4.3446177,optimal,NA,8
GDPopt,GLOA,baron,2.93439833,113.3396742,optimal,NA,8
GDPopt,LBB,baron,2.934405103,663.4529006,optimal,NA,8
D-SDA_MIP_bigm,k=Infinity,knitro,2.934405103,7.72,optimal,0.481000962,8
D-SDA_MIP_hull,k=Infinity,knitro,2.934405103,10.51,optimal,0.494001294,8
D-SDA_MIP_bigm,k=2,knitro,3.130198125,5.41,optimal,0.356999296,8
D-SDA_MIP_hull,k=2,knitro,3.130198133,6.96,optimal,0.222999696,8
D-SDA_MIP_bigm,k=Infinity,baron,2.934405019,18131.32,maxTimeLimit,18124.864,8
D-SDA_MIP_hull,k=Infinity,baron,2.934405101,625.58,optimal,617.065,8
D-SDA_MIP_bigm,k=2,baron,3.130198086,100.77,optimal,96.00000107,8
D-SDA_MIP_hull,k=2,baron,3.130198133,503.34,optimal,497.6010012,8
MINLP,bigm,antigone,9.894736842,0.064999773,infeasible,NA,9
MINLP,hull,antigone,2.909533262,899.592,optimal,NA,9
MINLP,bigm,baron,2.909344583,900.4379997,optimal,NA,9
MINLP,hull,baron,2.909492424,972.1000004,optimal,NA,9
MINLP,bigm,scip,2.909532873,730.6889996,optimal,NA,9
MINLP,hull,scip,2.90953326,900.4780002,optimal,NA,9
MINLP,bigm,dicopt,2.909533215,4.25099975,optimal,NA,9
MINLP,hull,dicopt,2.909533293,5.239999993,optimal,NA,9
MINLP,bigm,sbb,2.909533237,92.26500008,optimal,NA,9
MINLP,hull,sbb,2.909533262,1.373000373,optimal,NA,9
MINLP,bigm,knitro,2.90953325,16.87000003,optimal,NA,9
MINLP,hull,knitro,2.909533262,1.7939999,optimal,NA,9
GDPopt,LOA,knitro,3.314845406,51.9012214,optimal,NA,9
GDPopt,GLOA,knitro,3.314845406,53.9374416,optimal,NA,9
GDPopt,LBB,knitro,9.894736842,900.6516627,maxTimeLimit,NA,9
GDPopt,LOA,baron,3.134337036,4.6623357,optimal,NA,9
GDPopt,GLOA,baron,2.909529113,161.711393,optimal,NA,9
GDPopt,LBB,baron,9.894736842,900.6395406,maxTimeLimit,NA,9
D-SDA_MIP_bigm,k=Infinity,knitro,2.909533262,9.21,optimal,0.380000076,9
D-SDA_MIP_hull,k=Infinity,knitro,2.909533262,12.94,optimal,0.382999959,9
D-SDA_MIP_bigm,k=2,knitro,3.130198125,6.14,optimal,0.23799974,9
D-SDA_MIP_hull,k=2,knitro,3.130198133,9.03,optimal,0.275999936,9
D-SDA_MIP_bigm,k=Infinity,baron,2.909533261,737.19,optimal,728.4410009,9
D-SDA_MIP_hull,k=Infinity,baron,2.909515521,901.19,maxTimeLimit,890.0490014,9
D-SDA_MIP_bigm,k=2,baron,3.130198133,123.38,optimal,117.5059999,9
D-SDA_MIP_hull,k=2,baron,3.130198133,722.3,optimal,714.0799995,9
MINLP,hull,baron,2.889536968,942.8659996,optimal,NA,10
MINLP,hull,dicopt,3.062014576,900.4480002,optimal,NA,10
MINLP,hull,sbb,2.889536969,3.265000018,optimal,NA,10
D-SDA_MIP_hull,k=2,knitro,3.130198133,5.83,optimal,0.243000593,10
GDPopt,LBB,baron,9.894736842,900.5176237,maxTimeLimit,NA,15
GDPopt,LOA,baron,3.200972362,6.2612835,optimal,NA,15
MINLP,bigm,dicopt,2.829394048,72.4890003,optimal,NA,15
MINLP,hull,baron,2.799406424,914.1829997,optimal,NA,20
MINLP,hull,dicopt,2.799406425,662.674,optimal,NA,20
MINLP,hull,sbb,2.799406423,21.64300019,optimal,NA,20
MINLP,bigm,baron,2.829383689,900.845,optimal,NA,15
D-SDA_MIP_bigm,k=2,knitro,3.130198125,6.46,optimal,0.242999336,15
MINLP,hull,dicopt,2.829394063,124.718,optimal,NA,15
MINLP,bigm,knitro,2.889536956,6.947000138,optimal,NA,10
MINLP,bigm,baron,2.799406269,900.6290002,optimal,NA,20
MINLP,bigm,dicopt,2.799406425,378.5979999,optimal,NA,20
MINLP,bigm,sbb,2.829394063,435.1289999,optimal,NA,15
D-SDA_MIP_bigm,k=Infinity,knitro,2.889536969,8.2,optimal,0.716999103,10
GDPopt,LOA,baron,3.314845403,4.3047406,optimal,NA,10
GDPopt,GLOA,baron,2.889534909,183.9527134,optimal,NA,10
GDPopt,LBB,baron,9.894736832,900.4238641,maxTimeLimit,NA,10
D-SDA_MIP_hull,k=2,knitro,3.130198133,9.43,optimal,0.258999551,15
D-SDA_MIP_bigm,k=2,knitro,3.130198125,10.42,optimal,1.520000305,20
D-SDA_MIP_hull,k=Infinity,knitro,2.889536969,10.77,optimal,0.875999825,10
D-SDA_MIP_hull,k=Infinity,knitro,2.889536969,11.13,optimal,0.889000157,10
GDPopt,LOA,knitro,9.894736842,11.8275674,optimal,NA,5
D-SDA_MIP_bigm,k=2,knitro,3.130198125,12.25,optimal,0.323000411,25
GDPopt,GLOA,knitro,9.894736842,13.0421818,optimal,NA,5
MINLP,hull,knitro,2.837980693,13.09599993,optimal,NA,15
GDPopt,LOA,baron,3.479901681,6.0199988,optimal,NA,20
GDPopt,GLOA,baron,2.799406147,900.5487779,maxTimeLimit,NA,20
GDPopt,LBB,baron,9.894736842,931.8048657,maxTimeLimit,NA,20
D-SDA_MIP_hull,k=2,knitro,3.130198133,13.76,optimal,0.311000249,20
D-SDA_MIP_bigm,k=Infinity,baron,2.889536758,621.77,optimal,614.4099985,10
D-SDA_MIP_hull,k=Infinity,baron,2.889536968,900.76,maxTimeLimit,890.8419984,10
