Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736842101874,Optimal,0.079000275582075,1.1606621476821601
"[2, 1]",2,1,4.06188168427806,Optimal,0.068999826908112,15.381094038952142
"[2, 2]",2,2,4.061881684350143,Optimal,0.048000016249716,16.766276880633086
"[3, 1]",3,1,3.314845394480558,Optimal,0.469999713823199,30.63694593682885
"[3, 2]",3,2,3.3148454016507447,Optimal,1.305000088177621,33.12752717966214
"[3, 3]",3,3,3.314845402764389,Optimal,0.04900018684566,34.50382026378065
"[4, 1]",4,1,3.1343370232438508,Optimal,0.260000349953771,47.41916791675612
"[4, 2]",4,2,3.1343370361483034,Optimal,0.087999925017357,48.69644887000322
"[4, 3]",4,3,3.134337023558531,Optimal,0.577999907545745,50.605975940823555
"[4, 4]",4,4,3.133783898141682,Optimal,0.038000196218491,51.81972859567031
"[5, 1]",5,1,3.130198124877683,Optimal,0.046000303700566,63.785661769565195
"[5, 2]",5,2,3.1301981226651683,Optimal,0.252999784424901,65.22986539080739
"[5, 3]",5,3,3.130198133036933,Optimal,0.296000204980373,66.84295882377774
"[5, 4]",5,4,3.1301981327808464,Optimal,0.266000116243958,68.28869899362326
"[5, 5]",5,5,3.062014562268427,Optimal,0.05099989939481,69.67446669796482
"[6, 1]",6,1,3.200976586440496,Optimal,0.226999749429524,80.9344409876503
"[6, 2]",6,2,3.200976594993332,Optimal,0.097999745048583,82.21871982468292
"[6, 3]",6,3,3.2009765940530075,Optimal,0.069999997504056,83.61440062662587
"[6, 4]",6,4,3.200976594585452,Optimal,0.080000446178019,84.87408357392997
"[6, 5]",6,5,3.2009765945857063,Optimal,0.072000338695943,86.27125058788806
"[6, 6]",6,6,3.007277960572454,Optimal,0.048000016249716,87.50892332661897
"[7, 1]",7,1,3.2871513562929002,Optimal,0.052000069990754,97.8256367999129
"[7, 2]",7,2,3.287151347018682,Optimal,0.262000062502921,99.26647533057258
"[7, 3]",7,3,3.287151356292318,Optimal,0.087000383064151,100.67898284783587
"[7, 4]",7,4,3.2871513555151037,Optimal,0.093000149354339,101.95541561068967
"[7, 5]",7,5,3.287151356292234,Optimal,0.072999880649149,103.3765627918765
"[7, 6]",7,6,3.269433831534993,Optimal,0.099000544287264,104.64883138192818
"[7, 7]",7,7,2.9660470722890273,Optimal,0.053999782539904,105.88177495170385
"[8, 1]",8,1,3.3561752351303062,Optimal,0.054999953135848,115.31238176068291
"[8, 2]",8,2,3.3561752245585708,Optimal,0.255000125616789,116.75649788975716
"[8, 3]",8,3,3.356175232323794,Optimal,0.102999969385564,118.19910222757608
"[8, 4]",8,4,3.3561752343588886,Optimal,0.105000310577452,119.48150727292523
"[8, 5]",8,5,3.356175236019519,Optimal,0.266000116243958,120.91680109873414
"[8, 6]",8,6,3.356175226340244,Optimal,0.321999611333013,122.58006952796131
"[8, 7]",8,7,3.262789845632819,Optimal,0.105000310577452,123.87225354555994
"[8, 8]",8,8,2.9344051030873297,Optimal,0.052000069990754,125.24718249356374
"[9, 1]",9,1,3.4079286625351144,Optimal,0.053000240586698,133.7988645657897
"[9, 2]",9,2,3.4079286722125612,Optimal,0.12200006749481,135.25689071789384
"[9, 3]",9,3,3.4079286727094016,Optimal,0.296999746933579,136.73059150669724
"[9, 4]",9,4,3.4079286724954074,Optimal,0.38400012999773,138.45652441168204
"[9, 5]",9,5,3.407928673006283,Optimal,0.281999702565372,139.92605300201103
"[9, 6]",9,6,3.4079286721627717,Optimal,0.096000032499433,141.20128171285614
"[9, 7]",9,7,3.4005717002055986,Optimal,0.33699965570122,142.89222222473472
"[9, 8]",9,8,3.222038819569106,Optimal,0.111999618820846,144.17794503597543
"[9, 9]",9,9,2.909533261915069,Optimal,0.053999782539904,145.59273154195398
"[10, 1]",10,1,3.4479640316604883,Optimal,0.056000123731792,153.3088693167083
"[10, 2]",10,2,3.4479640316605993,Optimal,0.109999906271696,154.596238410566
"[10, 3]",10,3,3.4479640233067013,Optimal,0.285000214353204,156.22165707778186
"[10, 4]",10,4,3.447964031660282,Optimal,0.355000211857259,157.74874431779608
"[10, 5]",10,5,3.4479640324922793,Optimal,0.333999772556126,159.40803916193545
"[10, 6]",10,6,3.4479640316603772,Optimal,0.079000275582075,160.65780763560906
"[10, 7]",10,7,3.4479640316600086,Optimal,0.141000165604055,162.12619573483244
"[10, 8]",10,8,3.399830143514036,Optimal,0.299000088125467,163.59246456064284
"[10, 9]",10,9,3.1770023597850225,Optimal,0.091999978758395,165.01117621455342
"[10, 10]",10,10,2.889536968602475,Optimal,0.052000069990754,166.23940495494753
"[11, 1]",11,1,3.479901681117189,Optimal,0.059000006876886,173.29616491869092
"[11, 2]",11,2,3.4799016691036186,Optimal,0.307000195607543,174.78323144977912
"[11, 3]",11,3,3.4799016811179757,Optimal,0.097000203095376,176.21289427764714
"[11, 4]",11,4,3.479901683465017,Optimal,0.360999978147447,177.7549738609232
"[11, 5]",11,5,3.479901682073621,Optimal,0.329999718815088,179.421521815937
"[11, 6]",11,6,3.4799016811176093,Optimal,0.170000083744526,180.7568050646223
"[11, 7]",11,7,3.479901681976148,Optimal,0.277000106871128,182.3638449329883
"[11, 8]",11,8,3.477489939784363,Optimal,0.072000338695943,183.61657949863002
"[11, 9]",11,9,3.3715845880757027,Optimal,0.119000184349716,184.9142257478088
"[11, 10]",11,10,3.135925547492192,Optimal,0.299000088125467,186.55230017891154
"[11, 11]",11,11,2.873140226267084,Optimal,0.053999782539904,187.77179086674005
"[12, 1]",12,1,3.5060040330165565,Optimal,0.057999836280942,194.09967684699222
"[12, 2]",12,2,3.506004031418982,Optimal,0.091999978758395,195.37217087298632
"[12, 3]",12,3,3.5060040354150415,Optimal,0.411000335589051,196.95752024790272
"[12, 4]",12,4,3.506004046762337,Optimal,0.392999779433012,198.70382353290915
"[12, 5]",12,5,3.5060040431761537,Optimal,0.094999861903489,199.9765674667433
"[12, 6]",12,6,3.506004044207868,Optimal,0.347000104375184,201.65502164280042
"[12, 7]",12,7,3.5060040454432166,Optimal,0.355000211857259,203.16983068082482
"[12, 8]",12,8,3.5060040335203353,Optimal,0.336000113748014,204.83017071383074
"[12, 9]",12,9,3.480837082685512,Optimal,0.34799964632839,206.3406708408147
"[12, 10]",12,10,3.332639658861742,Optimal,0.11299978941679,207.8070237278007
"[12, 11]",12,11,3.10014972268249,Optimal,0.376000022515655,209.34631070960313
"[12, 12]",12,12,2.8594656076335525,Optimal,0.041000079363585,210.54150464059785
"[13, 1]",13,1,3.5277538227986804,Optimal,0.052000069990754,215.89375531300902
"[13, 2]",13,2,3.5277538209774177,Optimal,0.313999503850937,217.527807071805
"[13, 3]",13,3,3.527753830337976,Optimal,0.109999906271696,218.80454581556842
"[13, 4]",13,4,3.52775382101924,Optimal,0.303999683819711,220.44174863072112
"[13, 5]",13,5,3.5277538315090426,Optimal,0.423999410122633,222.02549164975062
"[13, 6]",13,6,3.527753830895188,Optimal,0.101000256836414,223.27033062884584
"[13, 7]",13,7,3.5277538316633326,Optimal,0.168000371195376,224.77285291068256
"[13, 8]",13,8,3.5277538316636274,Optimal,0.075000221841037,226.0068603255786
"[13, 9]",13,9,3.527291532755407,Optimal,0.085000041872263,227.40873066196218
