Point,x,y,Objective,Status,Time,Global_Time
"[1, 1]",1,1,9.894736842098993,Optimal,0.042000249959528,0.4078037953004241
"[2, 1]",2,1,4.061881684266233,Optimal,0.758999981917441,3.0526232342235744
"[2, 2]",2,2,4.061881648861954,Optimal,0.06199989002198,3.5168870319612324
"[3, 1]",3,1,3.3148453960830713,Optimal,0.195999490097165,5.410341427195817
"[3, 2]",3,2,3.314845402940149,Optimal,0.057999836280942,5.88136874511838
"[3, 3]",3,3,3.314845403072714,Optimal,0.037000025622547,6.329815671313554
"[4, 1]",4,1,3.134337023520676,Optimal,0.034000142477453,7.814920227043331
"[4, 2]",4,2,3.134337025707241,Optimal,0.194999948143959,8.427044785115868
"[4, 3]",4,3,3.1343370346996133,Optimal,0.232999515719712,9.06168325804174
"[4, 4]",4,4,3.133783898141674,Optimal,0.038000196218491,9.606425585225224
"[5, 1]",5,1,3.1301981247868236,Optimal,0.035000313073397,10.710471636150032
"[5, 2]",5,2,3.1301981326426738,Optimal,0.258999550715089,11.383387802168727
"[5, 3]",5,3,3.13019813314681,Optimal,0.206000567413867,12.00209843693301
"[5, 4]",5,4,3.130198133051434,Optimal,0.171999796293676,12.579115445259959
"[5, 5]",5,5,3.062014562266075,Optimal,0.038000196218491,13.088710508309305
"[6, 1]",6,1,3.200976594585703,Optimal,0.04900018684566,14.012121967040002
"[6, 2]",6,2,3.2009765952612668,Optimal,0.059000006876886,14.460677886381745
"[6, 3]",6,3,3.2009765945853252,Optimal,0.048999558202922,14.900712735019624
"[6, 4]",6,4,3.200976594612575,Optimal,0.059999548830092,15.35388636821881
"[6, 5]",6,5,3.200976594585126,Optimal,0.065000401809812,15.879514731932431
"[6, 6]",6,6,3.007277974300128,Optimal,0.04900018684566,16.31326134223491
"[7, 1]",7,1,3.2871513562930748,Optimal,0.037000025622547,17.03288540802896
"[7, 2]",7,2,3.287151356292986,Optimal,0.076000392436981,17.500236832071096
"[7, 3]",7,3,3.2871513562920893,Optimal,0.074000051245093,17.96374147804454
"[7, 4]",7,4,3.2871513456185038,Optimal,0.111999618820846,18.46614565514028
"[7, 5]",7,5,3.2871513559093257,Optimal,0.068000284954906,18.993732957169414
"[7, 6]",7,6,3.269433831533813,Optimal,0.091999978758395,19.470223604235798
"[7, 7]",7,7,2.9660470722890158,Optimal,0.050000357441604,19.895913812331855
"[7, 7]",7,7,2.9660470722890158,Final,0.038000196218491,20.311640420928597
