d1,-1,-1,-1,-1,-1
d2,-1,-1,-1,-1,0
d3,-1,-1,-1,-1,1
d4,-1,-1,-1,0,-1
d5,-1,-1,-1,0,0
d6,-1,-1,-1,0,1
d7,-1,-1,-1,1,-1
d8,-1,-1,-1,1,0
d9,-1,-1,-1,1,1
d10,-1,-1,0,-1,-1
d11,-1,-1,0,-1,0
d12,-1,-1,0,-1,1
d13,-1,-1,0,0,-1
d14,-1,-1,0,0,0
d15,-1,-1,0,0,1
d16,-1,-1,0,1,-1
d17,-1,-1,0,1,0
d18,-1,-1,0,1,1
d19,-1,-1,1,-1,-1
d20,-1,-1,1,-1,0
d21,-1,-1,1,-1,1
d22,-1,-1,1,0,-1
d23,-1,-1,1,0,0
d24,-1,-1,1,0,1
d25,-1,-1,1,1,-1
d26,-1,-1,1,1,0
d27,-1,-1,1,1,1
d28,-1,0,-1,-1,-1
d29,-1,0,-1,-1,0
d30,-1,0,-1,-1,1
d31,-1,0,-1,0,-1
d32,-1,0,-1,0,0
d33,-1,0,-1,0,1
d34,-1,0,-1,1,-1
d35,-1,0,-1,1,0
d36,-1,0,-1,1,1
d37,-1,0,0,-1,-1
d38,-1,0,0,-1,0
d39,-1,0,0,-1,1
d40,-1,0,0,0,-1
d41,-1,0,0,0,0
d42,-1,0,0,0,1
d43,-1,0,0,1,-1
d44,-1,0,0,1,0
d45,-1,0,0,1,1
d46,-1,0,1,-1,-1
d47,-1,0,1,-1,0
d48,-1,0,1,-1,1
d49,-1,0,1,0,-1
d50,-1,0,1,0,0
d51,-1,0,1,0,1
d52,-1,0,1,1,-1
d53,-1,0,1,1,0
d54,-1,0,1,1,1
d55,-1,1,-1,-1,-1
d56,-1,1,-1,-1,0
d57,-1,1,-1,-1,1
d58,-1,1,-1,0,-1
d59,-1,1,-1,0,0
d60,-1,1,-1,0,1
d61,-1,1,-1,1,-1
d62,-1,1,-1,1,0
d63,-1,1,-1,1,1
d64,-1,1,0,-1,-1
d65,-1,1,0,-1,0
d66,-1,1,0,-1,1
d67,-1,1,0,0,-1
d68,-1,1,0,0,0
d69,-1,1,0,0,1
d70,-1,1,0,1,-1
d71,-1,1,0,1,0
d72,-1,1,0,1,1
d73,-1,1,1,-1,-1
d74,-1,1,1,-1,0
d75,-1,1,1,-1,1
d76,-1,1,1,0,-1
d77,-1,1,1,0,0
d78,-1,1,1,0,1
d79,-1,1,1,1,-1
d80,-1,1,1,1,0
d81,-1,1,1,1,1
d82,0,-1,-1,-1,-1
d83,0,-1,-1,-1,0
d84,0,-1,-1,-1,1
d85,0,-1,-1,0,-1
d86,0,-1,-1,0,0
d87,0,-1,-1,0,1
d88,0,-1,-1,1,-1
d89,0,-1,-1,1,0
d90,0,-1,-1,1,1
d91,0,-1,0,-1,-1
d92,0,-1,0,-1,0
d93,0,-1,0,-1,1
d94,0,-1,0,0,-1
d95,0,-1,0,0,0
d96,0,-1,0,0,1
d97,0,-1,0,1,-1
d98,0,-1,0,1,0
d99,0,-1,0,1,1
d100,0,-1,1,-1,-1
d101,0,-1,1,-1,0
d102,0,-1,1,-1,1
d103,0,-1,1,0,-1
d104,0,-1,1,0,0
d105,0,-1,1,0,1
d106,0,-1,1,1,-1
d107,0,-1,1,1,0
d108,0,-1,1,1,1
d109,0,0,-1,-1,-1
d110,0,0,-1,-1,0
d111,0,0,-1,-1,1
d112,0,0,-1,0,-1
d113,0,0,-1,0,0
d114,0,0,-1,0,1
d115,0,0,-1,1,-1
d116,0,0,-1,1,0
d117,0,0,-1,1,1
d118,0,0,0,-1,-1
d119,0,0,0,-1,0
d120,0,0,0,-1,1
d121,0,0,0,0,-1
d122,0,0,0,0,1
d123,0,0,0,1,-1
d124,0,0,0,1,0
d125,0,0,0,1,1
d126,0,0,1,-1,-1
d127,0,0,1,-1,0
d128,0,0,1,-1,1
d129,0,0,1,0,-1
d130,0,0,1,0,0
d131,0,0,1,0,1
d132,0,0,1,1,-1
d133,0,0,1,1,0
d134,0,0,1,1,1
d135,0,1,-1,-1,-1
d136,0,1,-1,-1,0
d137,0,1,-1,-1,1
d138,0,1,-1,0,-1
d139,0,1,-1,0,0
d140,0,1,-1,0,1
d141,0,1,-1,1,-1
d142,0,1,-1,1,0
d143,0,1,-1,1,1
