d1,1,1,1,1,1,1
d2,-1,-1,-1,-1,-1,-1
d3,1,1,1,1,1,0
d4,-1,-1,-1,-1,-1,0
d5,1,1,1,1,0,1
d6,-1,-1,-1,-1,0,-1
d7,1,1,1,0,1,1
d8,-1,-1,-1,0,-1,-1
d9,1,1,0,1,1,1
d10,-1,-1,0,-1,-1,-1
d11,1,0,1,1,1,1
d12,-1,0,-1,-1,-1,-1
d13,0,1,1,1,1,1
d14,0,-1,-1,-1,-1,-1
d15,1,1,1,1,0,0
d16,-1,-1,-1,-1,0,0
d17,1,1,1,0,1,0
d18,-1,-1,-1,0,-1,0
d19,1,1,1,0,0,1
d20,-1,-1,-1,0,0,-1
d21,1,1,0,1,1,0
d22,-1,-1,0,-1,-1,0
d23,1,1,0,1,0,1
d24,-1,-1,0,-1,0,-1
d25,1,1,0,0,1,1
d26,-1,-1,0,0,-1,-1
d27,1,0,1,1,1,0
d28,-1,0,-1,-1,-1,0
d29,1,0,1,1,0,1
d30,-1,0,-1,-1,0,-1
d31,1,0,1,0,1,1
d32,-1,0,-1,0,-1,-1
d33,1,0,0,1,1,1
d34,-1,0,0,-1,-1,-1
d35,0,1,1,1,1,0
d36,0,-1,-1,-1,-1,0
d37,0,1,1,1,0,1
d38,0,-1,-1,-1,0,-1
d39,0,1,1,0,1,1
d40,0,-1,-1,0,-1,-1
d41,0,1,0,1,1,1
d42,0,-1,0,-1,-1,-1
d43,0,0,1,1,1,1
d44,0,0,-1,-1,-1,-1
d45,1,1,1,0,0,0
d46,-1,-1,-1,0,0,0
d47,1,1,0,1,0,0
d48,-1,-1,0,-1,0,0
d49,1,1,0,0,1,0
d50,-1,-1,0,0,-1,0
d51,1,1,0,0,0,1
d52,-1,-1,0,0,0,-1
d53,1,0,1,1,0,0
d54,-1,0,-1,-1,0,0
d55,1,0,1,0,1,0
d56,-1,0,-1,0,-1,0
d57,1,0,1,0,0,1
d58,-1,0,-1,0,0,-1
d59,1,0,0,1,1,0
d60,-1,0,0,-1,-1,0
d61,1,0,0,1,0,1
d62,-1,0,0,-1,0,-1
d63,1,0,0,0,1,1
d64,-1,0,0,0,-1,-1
d65,0,1,1,1,0,0
d66,0,-1,-1,-1,0,0
d67,0,1,1,0,1,0
d68,0,-1,-1,0,-1,0
d69,0,1,1,0,0,1
d70,0,-1,-1,0,0,-1
d71,0,1,0,1,1,0
d72,0,-1,0,-1,-1,0
d73,0,1,0,1,0,1
d74,0,-1,0,-1,0,-1
d75,0,1,0,0,1,1
d76,0,-1,0,0,-1,-1
d77,0,0,1,1,1,0
d78,0,0,-1,-1,-1,0
d79,0,0,1,1,0,1
d80,0,0,-1,-1,0,-1
d81,0,0,1,0,1,1
d82,0,0,-1,0,-1,-1
d83,0,0,0,1,1,1
d84,0,0,0,-1,-1,-1
d85,1,1,0,0,0,0
d86,-1,-1,0,0,0,0
d87,1,0,1,0,0,0
d88,-1,0,-1,0,0,0
d89,1,0,0,1,0,0
d90,-1,0,0,-1,0,0
d91,1,0,0,0,1,0
d92,-1,0,0,0,-1,0
d93,1,0,0,0,0,1
d94,-1,0,0,0,0,-1
d95,0,1,1,0,0,0
d96,0,-1,-1,0,0,0
d97,0,1,0,1,0,0
d98,0,-1,0,-1,0,0
d99,0,1,0,0,1,0
d100,0,-1,0,0,-1,0
d101,0,1,0,0,0,1
d102,0,-1,0,0,0,-1
d103,0,0,1,1,0,0
d104,0,0,-1,-1,0,0
d105,0,0,1,0,1,0
d106,0,0,-1,0,-1,0
d107,0,0,1,0,0,1
d108,0,0,-1,0,0,-1
d109,0,0,0,1,1,0
d110,0,0,0,-1,-1,0
d111,0,0,0,1,0,1
d112,0,0,0,-1,0,-1
d113,0,0,0,0,1,1
d114,0,0,0,0,-1,-1
d115,1,0,0,0,0,0
d116,-1,0,0,0,0,0
d117,0,1,0,0,0,0
d118,0,-1,0,0,0,0
d119,0,0,1,0,0,0
d120,0,0,-1,0,0,0
d121,0,0,0,1,0,0
d122,0,0,0,-1,0,0
d123,0,0,0,0,1,0
d124,0,0,0,0,-1,0
d125,0,0,0,0,0,1
d126,0,0,0,0,0,-1
